No,X1 transaction date,X2 house age,X3 distance to the nearest MRT station,X4 number of convenience stores,X5 latitude,X6 longitude,Y house price of unit area
1,2013010.079,8.1,7535346.72,2,2499043.6,12153593.59,105.52
2,2013537.854,23.7,7505221.31,8,2498174.08,12150553.02,70.19
3,2013337.506,38.2,8853839.81,4,2497570.48,12150177.95,99.08
4,2013215.371,32.1,7510473.2,7,2490556.06,12154971.65,116.58
5,2012809.913,35.3,7556301.99,6,2490068.78,12151163.64,25.58
6,2012809.891,28.9,8553429.64,7,2492124.47,12150269.15,83.63
7,2012720.205,30.3,7919990.52,6,2496635.24,12150949.38,81.7
8,2013460.417,37.2,8588843.78,2,2494111.97,12150194.79,115.3
9,2013217.621,10.9,7133713.4,1,2494024.06,12151959.05,115.92
10,2013315.594,21.4,7997378.56,6,2498845.87,12154012.01,83.07
11,2012685.855,9.7,7068760.18,2,2498955.63,12151706.22,34.37
12,2013555.437,43.3,7128163.77,2,2499091.75,12152220.92,95.36
13,2013429.517,41.3,8854213.89,1,2493138.78,12153377.93,19.36
14,2012861.503,1.7,7284841.17,3,2496910.56,12152544.47,93.4
15,2012833.552,30.9,8089122.94,7,2492716.33,12154307.23,107.63
16,2012834.999,40.5,7840939.63,0,2491906.1,12154330.18,49.67
17,2012945.686,7.9,7710527.59,0,2491846.32,12150049.55,76.91
18,2013147.677,24.9,8840704.49,4,2493421.08,12153890.23,54.87
19,2013062.662,40.1,7044642.07,10,2494299.58,12152303.67,55.71
20,2012933.766,1.5,8357852.16,4,2498309.49,12154944.2,41.71
21,2013227.457,30.5,8970725.43,10,2491198.91,12152416.16,91.36
22,2012794.776,13.0,8145883.4,0,2497349.26,12154934.48,110.49
23,2012934.604,40.5,8916369.65,5,2495314.55,12153772.85,110.99
24,2013002.587,42.5,7106899.03,0,2492879.45,12151243.02,26.81
25,2013084.76,41.4,7856686.13,4,2494928.2,12152691.97,103.73
26,2013386.221,20.8,7532180.34,8,2492999.42,12154960.68,88.64
27,2012849.901,37.8,8494971.75,4,2495960.82,12154287.65,35.39
28,2013138.039,37.0,9007347.22,5,2494338.44,12150486.83,14.99
29,2013209.652,14.0,7524759.43,7,2491644.06,12153531.86,37.05
30,2012709.549,36.3,8338183.49,10,2491165.83,12151727.9,107.85
31,2013223.511,1.6,7405229.71,0,2495466.96,12150034.91,77.19
32,2012823.2,26.1,8156442.96,1,2499024.13,12152017.4,86.84
33,2012726.587,10.1,7949023.08,8,2493439.58,12151173.77,35.86
34,2013536.179,5.3,8988339.93,2,2497330.0,12154094.35,86.66
35,2013551.519,3.4,8244807.04,5,2496586.61,12151686.65,10.69
